city,year,month,station,temperature,season
臺南市,2009,1,安南,17.15,winter
臺南市,2009,1,善化,16.47,winter
臺南市,2009,1,新營,16.7,winter
臺南市,2009,1,臺南,17.37,winter
臺南市,2010,1,安南,17.48,winter
臺南市,2010,1,善化,17.88,winter
臺南市,2010,1,新營,18.34,winter
臺南市,2010,1,臺南,18.53,winter
臺南市,2009,3,安南,21.66,spring
臺南市,2009,3,善化,20.85,spring
臺南市,2009,3,新營,21.41,spring
臺南市,2009,3,臺南,21.73,spring
臺南市,2009,4,安南,23.97,spring
臺南市,2009,4,善化,22.97,spring
臺南市,2009,4,新營,23.82,spring
臺南市,2009,4,臺南,23.92,spring
臺南市,2009,5,安南,27.34,spring
臺南市,2009,5,善化,26.12,spring
臺南市,2009,5,新營,27.06,spring
臺南市,2009,5,臺南,27.28,spring
臺南市,2009,6,安南,29.05,summer
臺南市,2009,6,善化,27.67,summer
臺南市,2009,6,新營,28.66,summer
臺南市,2009,6,臺南,28.65,summer
臺南市,2009,7,安南,30.15,summer
臺南市,2009,7,善化,28.89,summer
臺南市,2009,7,新營,29.79,summer
臺南市,2009,7,臺南,29.59,summer
臺南市,2009,8,安南,29.9,summer
臺南市,2009,8,善化,28.86,summer
臺南市,2009,8,新營,29.67,summer
臺南市,2009,8,臺南,29.81,summer
臺南市,2009,9,安南,29.75,fall
臺南市,2009,9,善化,29.18,fall
臺南市,2009,9,新營,29.97,fall
臺南市,2009,9,臺南,30.02,fall
臺南市,2009,10,安南,25.87,fall
臺南市,2009,10,善化,25.7,fall
臺南市,2009,10,新營,26.25,fall
臺南市,2009,10,臺南,26.45,fall
臺南市,2009,11,安南,22.5,fall
臺南市,2009,11,善化,22.52,fall
臺南市,2009,11,新營,23.08,fall
臺南市,2009,11,臺南,23.27,fall
臺南市,2011,1,安南,15.25,winter
臺南市,2011,1,善化,16.89,winter
臺南市,2011,1,新營,15.78,winter
臺南市,2011,1,臺南,15.93,winter
臺南市,2009,2,安南,22.95,winter
臺南市,2009,2,善化,21.74,winter
臺南市,2009,2,新營,22.51,winter
臺南市,2009,2,臺南,22.84,winter
