Plot,Vegetation_percent,Slope_degrees,Slope_group
1,35,10,2
2,42,12,3
3,28,9,2
4,31,5,1
5,39,2,1
6,25,8,2
7,37,2,1
8,33,11,3
9,29,9,2
10,40,12,3
11,34,10,2
12,38,15,3
13,30,9,2
14,36,11,3
15,27,2,1
16,43,13,3
17,32,6,2
18,39,12,3
19,28,5,1
20,36,11,3
21,26,8,2
22,41,5,1
23,33,10,2
24,37,11,3
25,29,4,1
26,35,11,3
27,24,5,1
28,43,13,3
29,31,2,1
30,38,12,3
31,29,3,1
32,34,11,3
33,26,8,2
34,42,3,1
35,32,7,2
36,40,4,1
37,28,9,2
38,37,4,1
39,25,3,1
40,44,13,3
41,30,10,2
42,39,1,1
43,28,9,2
44,35,11,3
45,23,8,2
46,40,12,3
47,33,10,2
48,38,6,2
49,30,2,1
50,36,11,3
