Group, Income,Group_ID
Group 1,40000,1
Group 1,45000,1
Group 1,42000,1
Group 1,44000,1
Group 1,47000,1
Group 1,43000,1
Group 1,40000,1
Group 1,41000,1
Group 1,43000,1
Group 1,45000,1
Group 1,42000,1
Group 1,46000,1
Group 1,47000,1
Group 1,49000,1
Group 1,45000,1
Group 1,42000,1
Group 1,55000,1
Group 1,64000,1
Group 1,72000,1
Group 1,74000,1
Group 2,48000,2
Group 2,41000,2
Group 2,48000,2
Group 2,60000,2
Group 2,63000,2
Group 2,58000,2
Group 2,62000,2
Group 2,57000,2
Group 2,61000,2
Group 2,65000,2
Group 2,59000,2
Group 2,58000,2
Group 2,61000,2
Group 2,60000,2
Group 2,63000,2
Group 2,62000,2
Group 2,57000,2
Group 2,79000,2
Group 3,39000,3
Group 3,62000,3
Group 3,59000,3
Group 3,70000,3
Group 3,75000,3
Group 3,80000,3
Group 3,76000,3
Group 3,78000,3
Group 3,73000,3
Group 3,71000,3
Group 3,78000,3
Group 3,76000,3
Group 3,77000,3
Group 3,75000,3
Group 3,79000,3
Group 3,71000,3
Group 3,77000,3
Group 3,72000,3
